Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength,name,status
519.0077,149643,left,1,-59.46984,133.8906,44.37463,224.3298,76.83612,14.93058,1.039546,0.3861804,1.336244,-126.776,111.5562,52.40378,-362.4101,32.33894,99.34253,0,0.7018958,0,18.41093,225.3138,17.95707,3.805511,38.83008,7.956595,0.3257782,0.01373357,-0.3181566,51.16246,203.4144,82.24403,200.2325,36.39592,231.7279,0,0.7326236,0,evyatar,alone
519.024,149644,left,1,-57.25201,134.0716,44.35315,258.6393,21.11342,-2.505508,1.037205,0.4022514,1.325747,-124.1871,110.811,52.89753,-359.0911,29.88734,100.5788,0,0.6623603,0,18.43102,225.6912,18.04374,2.306688,43.33437,9.953967,0.3264976,0.01819019,-0.3204527,51.29063,203.8823,82.32899,200.643,38.58664,233.4371,0,0.7798588,0,evyatar,alone
519.0406,149646,left,1,-52.47843,133.9544,44.73258,281.2466,-20.47641,25.75205,1.029577,0.4361225,1.3022,-118.5364,108.6367,54.32438,-350.6782,19.76516,101.3784,0,0.4092272,0,18.40465,226.5214,18.23855,-2.909666,56.09796,11.4019,0.3282187,0.02451907,-0.3235002,51.41246,204.8399,82.53451,201.5276,42.91131,236.5055,0,0.8303839,0.04028974,evyatar,alone
519.0573,149648,left,1,-48.03088,134.0193,45.00487,247.5707,11.43652,16.64889,0.9798996,0.4523076,1.268474,-113.5832,108.0346,56.28371,-343.9104,14.20088,102.6157,0,0.1220802,0,18.10311,227.3705,18.43532,-6.945813,55.80318,9.383934,0.3330704,0.02807493,-0.3305374,51.48849,205.6299,82.56013,202.619,46.63078,238.5772,0,0.8315652,0.08125872,evyatar,alone
519.0737,149650,left,1,-42.74025,133.5432,45.49298,301.4819,-5.54968,15.35645,0.9483483,0.4837638,1.235529,-107.5508,106.3264,58.23123,-337.3729,10.07478,102.0429,0,0,0,18.05762,228.08,18.64647,0.07544556,30.94688,11.54288,0.338345,0.02987687,-0.3308882,51.45837,206.1172,82.71241,203.6257,48.67337,239.298,0,0.8156868,0.1329048,evyatar,alone
519.0905,149652,left,1,-38.95568,134.6856,46.68439,193.5582,93.43386,74.09212,0.937331,0.5518109,1.188951,-102.011,104.4504,61.40108,-329.6046,3.130056,105.4168,0,0,0,18.0624,228.5765,19.01755,0.3095428,34.28134,30.40811,0.3286049,0.02514137,-0.3290898,51.49883,207.1635,83.23975,204.8447,50.58802,239.546,0,0.7947472,0.1844946,evyatar,alone
519.1069,149654,left,1,-34.67374,137.2393,47.16864,250.1912,150.4973,32.46775,0.9492555,0.6320494,1.147037,-95.51551,103.4521,63.42763,-320.7735,-1.983875,109.7326,0,0,0,17.89447,228.2793,19.46428,-4.153082,-4.829456,30.21267,0.3169601,0.02296356,-0.3287141,51.44205,207.5679,83.84519,205.9019,52.08065,240.1409,0,0.7574357,0.1942879,evyatar,alone
519.1234,149656,left,1,-29.61914,141.5671,46.90768,320.505,336.4175,-24.50973,0.9635127,0.6987691,1.108351,-88.25977,104.7083,64.50023,-311.3998,-3.623851,114.2466,0,0,0,17.7892,228.1402,19.93337,-9.701624,-14.87349,25.32333,0.3094111,0.006096346,-0.3224035,51.12165,207.6456,84.47457,205.9005,51.10296,239.3952,0,0.7209441,0.179294,evyatar,alone
519.14,149658,left,1,-23.6266,145.6105,45.24163,361.3003,233.291,-130.0428,1.012865,0.7869304,1.074275,-78.71518,103.7853,63.17669,-292.9901,-20.14425,115.4241,0,0,0,17.70522,227.7168,20.22846,-3.107115,-33.35177,10.29267,0.3115804,-0.007031268,-0.3161386,50.77441,206.9303,84.81361,206.5852,50.05939,238.3616,0,0.6691963,0.1192152,evyatar,alone
519.1566,149660,left,1,-18.74203,148.1156,42.84303,264.8381,137.32,-121.3283,1.048604,0.867564,1.038755,-70.27969,102.0913,61.01645,-274.9917,-36.03945,115.9248,0,0,0,17.61275,227.4803,20.45045,-3.990029,-16.54309,13.7621,0.3237534,-0.03758832,-0.3089949,50.37022,205.7428,84.92854,207.3249,49.62845,238.0821,0,0.6251301,0.04311931,evyatar,alone
