Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength,name,status
613.124,70740,right,1,-316.7081,406.9687,78.43407,-180.5651,28.13647,-95.97359,1.193438,-0.3522521,-1.453812,-257.42,373.305,76.19616,-354.6052,133.9984,52.46822,0,2.318232,0.08585379,18.41093,225.3138,17.95707,3.805511,38.83008,7.956595,0.3257782,0.01373357,-0.3181566,51.16246,203.4144,82.24403,200.2325,36.39592,231.7279,0,0.7326236,0,oriya,alone
613.1401,70742,right,1,-318.9431,407.7095,77.41859,-92.05977,55.20422,-0.9387785,1.574209,-0.2948616,-1.571836,-260.7441,372.7986,67.21675,-358.3509,134.4223,36.79759,0.05376319,2.365616,0.3774767,18.43102,225.6912,18.04374,2.306688,43.33437,9.953967,0.3264976,0.01819019,-0.3204527,51.29063,203.8823,82.32899,200.643,38.58664,233.4371,0,0.7798588,0,oriya,alone
613.1567,70744,right,1,-320.3185,408.2545,74.82817,-60.16219,35.45616,-154.5435,1.867214,-0.2179126,-1.661172,-262.9683,373.9549,58.72837,-360.5011,136.0336,24.72197,0.3940102,2.27041,0.4701587,18.40465,226.5214,18.23855,-2.909666,56.09796,11.4019,0.3282187,0.02451907,-0.3235002,51.41246,204.8399,82.53451,201.5276,42.91131,236.5055,0,0.8303839,0.04028974,oriya,alone
613.1733,70745,right,1,-320.6382,408.2103,73.14896,-36.89938,-5.100325,-193.8373,1.948364,-0.2012938,-1.69024,-263.9238,373.779,55.11818,-363.6208,137.0038,19.42999,0.03476692,2.238114,0.4987006,18.10311,227.3705,18.43532,-6.945813,55.80318,9.383934,0.3330704,0.02807493,-0.3305374,51.48849,205.6299,82.56013,202.619,46.63078,238.5772,0,0.8315652,0.08125872,oriya,alone
613.1898,70747,right,1,-320.673,407.1965,69.84776,-2.443354,-80.53846,-240.5012,2.026044,-0.1975419,-1.72587,-265.0545,372.3655,49.54979,-370.2084,138.0304,13.42066,0,2.247418,0.4926803,18.05762,228.08,18.64647,0.07544556,30.94688,11.54288,0.338345,0.02987687,-0.3308882,51.45837,206.1172,82.71241,203.6257,48.67337,239.298,0,0.8156868,0.1329048,oriya,alone
613.2068,70749,right,1,-320.6104,405.1429,64.94891,8.523469,-142.9482,-280.727,2.04853,-0.1946292,-1.735873,-265.2331,370.2641,44.2428,-371.333,135.8116,11.83264,0,2.249499,0.5469559,18.0624,228.5765,19.01755,0.3095428,34.28134,30.40811,0.3286049,0.02514137,-0.3290898,51.49883,207.1635,83.23975,204.8447,50.58802,239.546,0,0.7947472,0.1844946,oriya,alone
613.2238,70751,right,1,-319.5133,402.4887,60.40602,45.06181,-170.7689,-351.6494,2.103026,-0.172429,-1.759142,-264.6735,367.4046,38.53732,-371.0927,132.5782,10.1273,0,2.269623,0.6162812,17.89447,228.2793,19.46428,-4.153082,-4.829456,30.21267,0.3169601,0.02296356,-0.3287141,51.44205,207.5679,83.84519,205.9019,52.08065,240.1409,0,0.7574357,0.1942879,oriya,alone
613.2397,70753,right,1,-318.748,398.226,54.57731,39.24759,-253.5462,-338.7876,2.179379,-0.1297723,-1.770188,-263.0903,364.7813,32.34092,-361.9457,125.9337,11.00888,0,2.329834,0.6322304,17.7892,228.1402,19.93337,-9.701624,-14.87349,25.32333,0.3094111,0.006096346,-0.3224035,51.12165,207.6456,84.47457,205.9005,51.10296,239.3952,0,0.7209441,0.179294,oriya,alone
613.2567,70755,right,1,-316.5948,394.0348,48.95938,115.5951,-238.1808,-400.1638,2.133579,-0.1457993,-1.758094,-260.9678,359.8148,28.05549,-361.03,120.832,15.79171,0,2.294962,0.4780715,17.70522,227.7168,20.22846,-3.107115,-33.35177,10.29267,0.3115804,-0.007031268,-0.3161386,50.77441,206.9303,84.81361,206.5852,50.05939,238.3616,0,0.6691963,0.1192152,oriya,alone
613.2728,70757,right,1,-315.6779,388.7254,42.21053,24.93194,-292.6877,-384.3674,2.074232,-0.1871835,-1.74989,-260.6906,353.2171,22.17642,-367.0052,116.7322,15.271,0.4638945,2.345037,0.4269119,17.61275,227.4803,20.45045,-3.990029,-16.54309,13.7621,0.3237534,-0.03758832,-0.3089949,50.37022,205.7428,84.92854,207.3249,49.62845,238.0821,0,0.6251301,0.04311931,oriya,alone
613.2892,70759,right,1,-313.7914,383.5333,35.73779,59.44876,-313.863,-414.4366,2.13495,-0.2187719,-1.780192,-259.2667,349.1291,13.97833,-369.8881,114.548,10.7814,0.1982184,2.185637,0.2127586,17.59504,226.7708,20.74169,0.1522289,-47.13358,14.9059,0.3199305,-0.05917699,-0.3061982,50.32756,205.0397,85.22739,207.7707,48.1735,237.0954,0,0.5804149,0,oriya,alone
613.3058,70761,right,1,-314.0816,377.0292,29.45426,-44.11856,-380.2174,-342.9773,2.089674,-0.2572823,-1.763149,-259.0685,343.1046,9.221269,-371.4496,109.3636,12.57897,0,2.230907,0.3851131,17.57927,225.8769,20.97893,-1.554018,-49.27261,14.10453,0.3095724,-0.0696516,-0.3045345,50.35363,204.6443,85.59027,208.4467,47.60641,236.6033,0,0.5424234,0,oriya,alone
613.3227,70763,right,1,-312.3024,370.6729,24.66606,109.2531,-361.8463,-260.2171,2.015808,-0.3095219,-1.750191,-258.0219,335.2199,5.704525,-378.5732,105.6841,13.2106,0,1.7203,0.2760232,17.47668,224.9987,21.14577,-9.194762,-51.0369,7.447628,0.3017198,-0.07100394,-0.3022352,50.21103,204.2219,85.91442,209.1774,47.90908,236.7628,0,0.5407819,0,oriya,alone
613.3397,70765,right,1,-312.9942,361.7338,20.04487,-28.35961,-526.8028,-240.9136,1.854182,-0.3609321,-1.693421,-259.197,323.7328,5.273895,-387.2685,98.88585,23.08221,0,1.76529,0.6820064,17.22053,224.214,21.31473,-16.67351,-44.69855,10.93702,0.2931697,-0.06764507,-0.2998965,49.88375,203.954,86.26379,209.3764,48.0055,236.9336,0,0.5684602,0,oriya,alone
613.3557,70767,right,1,-311.962,352.4474,16.90703,53.43442,-567.8489,-212.5923,1.71706,-0.4001067,-1.638517,-259.1681,311.5076,5.622701,-393.4802,90.60281,26.52618,0,1.841092,0.7707664,17.02828,223.6316,21.37433,-22.21763,-67.30238,6.887174,0.2900203,-0.06348002,-0.297202,49.56595,203.5711,86.43681,209.6088,47.8447,236.7524,0,0.5427113,0,oriya,alone
613.3721,70768,right,1,-311.4467,347.4424,15.55182,59.39851,-577.0057,-156.2379,1.659327,-0.4178379,-1.612543,-258.9388,305.5444,5.944241,-394.842,85.76826,28.40257,0,1.856212,0.7491256,16.72391,222.6357,21.64975,-16.90597,-64.78221,17.74783,0.2815869,-0.04695056,-0.2938008,49.11347,203.0354,86.85315,210.0295,44.83892,233.6154,0,0.4428835,0,oriya,alone
613.3886,70770,right,1,-309.0817,337.2408,13.97008,193.8861,-575.3276,-42.87416,1.613572,-0.42402,-1.590782,-256.5572,294.7467,5.568284,-390.9883,73.81744,25.42202,0,1.863654,0.7297916,16.5189,221.5289,22.29115,-10.92616,-63.96432,43.05538,0.2686502,-0.03931387,-0.2981545,49.26231,202.6375,87.44856,210.9805,41.77467,230.3715,0,0.3261977,0,oriya,alone
613.4052,70772,right,1,-306.0468,328.4966,12.43333,149.4261,-486.2987,-83.46105,1.679963,-0.3686378,-1.616896,-252.1265,288.1795,1.841135,-377.6155,61.4349,12.56659,0,1.684078,0.4391729,16.4801,220.2195,23.11387,0.03906436,-72.4455,45.66754,0.254956,-0.03690782,-0.3037824,49.64793,202.1472,88.24458,211.9196,40.52247,229.6733,0,0.2095537,0,oriya,alone
613.4225,70774,right,1,-302.3595,319.4171,11.52613,272.5235,-513.6917,-18.9689,1.77738,-0.3151439,-1.652992,-247.9456,280.1747,-0.5718043,-366.4998,50.59756,22.11849,0,1.61026,0.3641925,16.55921,219.3736,23.80519,7.285506,-43.1188,40.06581,0.2434572,-0.03789132,-0.3057446,49.87231,201.9112,88.98869,211.1888,38.75233,229.7572,0,0.1349352,0,oriya,alone
613.4384,70776,right,1,-297.262,310.2603,10.90201,305.719,-568.7757,-38.67851,1.825306,-0.2901497,-1.669135,-242.5568,271.7038,-1.938645,-357.6629,40.87849,25.37269,0,1.611998,0.2743935,16.59968,218.8535,23.96297,0.6884502,-27.2349,1.358285,0.2324579,-0.0390677,-0.3037451,49.78641,201.9403,89.31776,209.3153,37.08953,230.1673,0,0.1085884,0,oriya,alone
