Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength,name,status
561.6581,67297,left,1,-44.91966,181.8706,-13.61859,121.378,84.91628,-464.031,1.418379,-2.156216,1.292635,-73.88935,120.6154,-2.20734,-261.9628,-38.48984,-2.398035,0.5871033,3.104041,0.9150859,18.41093,225.3138,17.95707,3.805511,38.83008,7.956595,0.3257782,0.01373357,-0.3181566,51.16246,203.4144,82.24403,200.2325,36.39592,231.7279,0,0.7326236,0,sachar,alone
561.6747,67299,left,1,-45.93995,184.4525,-23.04789,-95.67121,95.61127,-556.4638,1.310723,-2.120122,0.991327,-69.0536,122.7874,-5.627709,-267.0382,-23.69164,-11.29663,0.9593617,3.141593,1,18.43102,225.6912,18.04374,2.306688,43.33437,9.953967,0.3264976,0.01819019,-0.3204527,51.29063,203.8823,82.32899,200.643,38.58664,233.4371,0,0.7798588,0,sachar,alone
561.6917,67301,left,1,-48.63864,182.7052,-32.31704,-169.54,-139.9018,-525.3412,1.186258,-2.168664,0.6817511,-67.60321,122.5401,-8.086052,-274.5538,-11.09168,-8.464453,1,3.141593,1,18.40465,226.5214,18.23855,-2.909666,56.09796,11.4019,0.3282187,0.02451907,-0.3235002,51.41246,204.8399,82.53451,201.5276,42.91131,236.5055,0,0.8303839,0.04028974,sachar,alone
561.708,67303,left,1,-51.74533,177.5227,-40.59436,-138.5079,-333.1727,-450.8578,1.053551,-2.301828,0.5165622,-69.58388,120.6464,-9.166815,-281.5145,-3.704673,8.393497,1,3.141593,1,18.10311,227.3705,18.43532,-6.945813,55.80318,9.383934,0.3330704,0.02807493,-0.3305374,51.48849,205.6299,82.56013,202.619,46.63078,238.5772,0,0.8315652,0.08125872,sachar,alone
561.7244,67305,left,1,-54.42594,171.7902,-47.74446,-151.4782,-287.2024,-418.0426,0.9487656,-2.409689,0.4405904,-71.70326,118.1476,-10.62053,-281.4352,-5.025467,28.45681,1,3.141593,1,18.05762,228.08,18.64647,0.07544556,30.94688,11.54288,0.338345,0.02987687,-0.3308882,51.45837,206.1172,82.71241,203.6257,48.67337,239.298,0,0.8156868,0.1329048,sachar,alone
561.741,67307,left,1,-57.83147,167.5153,-54.20108,-212.5,-204.4403,-370.5425,0.8536124,-2.525467,0.4286851,-76.04097,117.3696,-12.38223,-279.3697,-7.314772,49.24063,1,3.141593,1,18.0624,228.5765,19.01755,0.3095428,34.28134,30.40811,0.3286049,0.02514137,-0.3290898,51.49883,207.1635,83.23975,204.8447,50.58802,239.546,0,0.7947472,0.1844946,sachar,alone
561.7577,67309,left,1,-61.46882,164.5173,-60.26151,-191.6013,-168.3147,-348.6356,0.7776802,-2.622586,0.4413907,-81.15541,117.6145,-14.97518,-277.3061,-5.498419,69.01439,1,3.141593,1,17.89447,228.2793,19.46428,-4.153082,-4.829456,30.21267,0.3169601,0.02296356,-0.3287141,51.44205,207.5679,83.84519,205.9019,52.08065,240.1409,0,0.7574357,0.1942879,sachar,alone
561.7745,67311,left,1,-65.22993,162.4821,-66.51484,-254.3889,-65.76835,-377.0195,0.7155552,-2.680851,0.4220264,-84.74727,118.2436,-18.35137,-275.2936,-1.310746,82.07272,1,3.141593,1,17.7892,228.1402,19.93337,-9.701624,-14.87349,25.32333,0.3094111,0.006096346,-0.3224035,51.12165,207.6456,84.47457,205.9005,51.10296,239.3952,0,0.7209441,0.179294,sachar,alone
561.7907,67313,left,1,-70.50463,160.9436,-72.71249,-342.4828,-82.38637,-347.1644,0.6590494,-2.739253,0.3714519,-88.27255,119.0027,-21.88934,-275.2972,5.67006,91.52853,1,3.141593,1,17.70522,227.7168,20.22846,-3.107115,-33.35177,10.29267,0.3115804,-0.007031268,-0.3161386,50.77441,206.9303,84.81361,206.5852,50.05939,238.3616,0,0.6691963,0.1192152,sachar,alone
561.8073,67314,left,1,-73.35581,160.2307,-75.45345,-325.7747,-81.45379,-313.181,0.6305394,-2.757853,0.3590797,-90.75347,119.6019,-23.39846,-275.1709,8.033477,95.88628,1,3.141593,1,17.61275,227.4803,20.45045,-3.990029,-16.54309,13.7621,0.3237534,-0.03758832,-0.3089949,50.37022,205.7428,84.92854,207.3249,49.62845,238.0821,0,0.6251301,0.04311931,sachar,alone
561.8239,67316,left,1,-80.20247,157.0316,-79.09609,-407.3223,-215.3787,-176.8572,0.5619836,-2.874973,0.3311094,-96.76421,118.98,-24.72178,-273.8662,6.436101,104.332,1,3.141593,1,17.59504,226.7708,20.74169,0.1522289,-47.13358,14.9059,0.3199305,-0.05917699,-0.3061982,50.32756,205.0397,85.22739,207.7707,48.1735,237.0954,0,0.5804149,0,sachar,alone
561.8405,67318,left,1,-88.89031,153.6542,-80.75543,-506.4037,-150.6836,-90.4553,0.4850723,-3.061707,0.2977034,-104.2201,117.6588,-24.40952,-266.8102,-11.19658,108.4321,1,3.141593,1,17.57927,225.8769,20.97893,-1.554018,-49.27261,14.10453,0.3095724,-0.0696516,-0.3045345,50.35363,204.6443,85.59027,208.4467,47.60641,236.6033,0,0.5424234,0,sachar,alone
561.857,67320,left,1,-96.25054,151.8826,-82.7406,-405.1374,-88.70087,-126.7257,0.4288522,3.119271,0.2744542,-110.5526,117.2995,-25.13898,-259.5524,-31.43953,102.7748,0.9524504,3.141593,1,17.47668,224.9987,21.14577,-9.194762,-51.0369,7.447628,0.3017198,-0.07100394,-0.3022352,50.21103,204.2219,85.91442,209.1774,47.90908,236.7628,0,0.5407819,0,sachar,alone
561.874,67322,left,1,-102.34,151.1803,-85.18595,-357.8949,8.816139,-166.8312,0.3706146,3.053221,0.2587172,-116.2122,118.7397,-26.28049,-259.0903,-40.74569,95.52429,0.924915,3.141593,1,17.22053,224.214,21.31473,-16.67351,-44.69855,10.93702,0.2931697,-0.06764507,-0.2998965,49.88375,203.954,86.26379,209.3764,48.0055,236.9336,0,0.5684602,0,sachar,alone
561.8904,67324,left,1,-108.0012,150.6635,-87.04674,-293.7698,-42.33382,-107.2517,0.3202978,3.01672,0.2503583,-121.7703,120.4232,-27.02048,-261.7282,-44.3294,91.10872,0.8061152,3.141593,1,17.02828,223.6316,21.37433,-22.21763,-67.30238,6.887174,0.2900203,-0.06348002,-0.297202,49.56595,203.5711,86.43681,209.6088,47.8447,236.7524,0,0.5427113,0,sachar,alone
561.9067,67326,left,1,-113.5369,150.8647,-88.61604,-337.6764,66.08228,-118.4535,0.2858355,2.985864,0.2334298,-126.5606,122.2212,-27.67963,-263.9384,-43.78661,91.71427,0.7145348,3.06846,1,16.72391,222.6357,21.64975,-16.90597,-64.78221,17.74783,0.2815869,-0.04695056,-0.2938008,49.11347,203.0354,86.85315,210.0295,44.83892,233.6154,0,0.4428835,0,sachar,alone
561.9232,67328,left,1,-119.2186,151.6895,-90.15241,-309.9971,26.11049,-67.27686,0.23724,2.950619,0.2272884,-132.172,125.5046,-28.12086,-267.047,-40.80283,93.68511,0.8961264,3.071591,1,16.5189,221.5289,22.29115,-10.92616,-63.96432,43.05538,0.2686502,-0.03931387,-0.2981545,49.26231,202.6375,87.44856,210.9805,41.77467,230.3715,0,0.3261977,0,sachar,alone
