Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
580.3546,67284,left,1,-107.5663,194.0214,111.2061,1.668661,-5.237311,-2.394488,1.452814,1.004685,1.384623,-151.2652,135.3852,109.8403,-315.1617,-64.68685,97.65494,0,0.5890101,0,18.43102,225.6912,18.04374,2.306688,43.33437,9.953967,0.3264976,0.01819019,-0.3204527,51.29063,203.8823,82.32899,200.643,38.58664,233.4371,0,0.7798588,0
580.3711,67286,left,1,-107.5527,193.9238,111.1626,-0.9895844,-5.317049,-2.840161,1.453233,1.003378,1.385818,-151.3279,135.3449,109.749,-315.4487,-64.51392,97.09268,0,0.5983624,0,18.40465,226.5214,18.23855,-2.909666,56.09796,11.4019,0.3282187,0.02451907,-0.3235002,51.41246,204.8399,82.53451,201.5276,42.91131,236.5055,0,0.8303839,0.04028974
580.3877,67287,left,1,-107.5629,193.9046,111.1321,-1.16178,-2.204036,-3.500613,1.453113,1.003099,1.385788,-151.3513,135.3351,109.698,-315.4559,-64.50416,96.53424,0,0.6032552,0,18.10311,227.3705,18.43532,-6.945813,55.80318,9.383934,0.3330704,0.02807493,-0.3305374,51.48849,205.6299,82.56013,202.619,46.63078,238.5772,0,0.8315652,0.08125872
580.4044,67289,left,1,-107.6129,193.901,111.0296,-2.950917,0.8309591,-7.022819,1.453741,1.00458,1.386164,-151.3247,135.2736,109.5247,-315.3069,-64.58951,95.24454,0,0.613283,0,18.05762,228.08,18.64647,0.07544556,30.94688,11.54288,0.338345,0.02987687,-0.3308882,51.45837,206.1172,82.71241,203.6257,48.67337,239.298,0,0.8156868,0.1329048
580.4208,67291,left,1,-107.7369,193.9501,110.9578,-9.037208,4.039848,-3.737403,1.453579,1.007045,1.38487,-151.3092,135.2167,109.4255,-314.851,-64.91216,93.87251,0,0.6217728,0,18.0624,228.5765,19.01755,0.3095428,34.28134,30.40811,0.3286049,0.02514137,-0.3290898,51.49883,207.1635,83.23975,204.8447,50.58802,239.546,0,0.7947472,0.1844946
580.4374,67293,left,1,-107.9439,194.1988,110.8956,-13.01845,16.6429,-2.648206,1.453732,1.011313,1.383214,-151.2693,135.2804,109.3219,-313.9042,-65.44644,92.06034,0,0.6231124,0,17.89447,228.2793,19.46428,-4.153082,-4.829456,30.21267,0.3169601,0.02296356,-0.3287141,51.44205,207.5679,83.84519,205.9019,52.08065,240.1409,0,0.7574357,0.1942879
580.4539,67295,left,1,-108.079,194.3707,110.7396,-6.170075,8.144709,-10.31009,1.454612,1.016597,1.382256,-151.0905,135.2219,109.0894,-312.4288,-66.38696,90.0314,0,0.6100399,0,17.7892,228.1402,19.93337,-9.701624,-14.87349,25.32333,0.3094111,0.006096346,-0.3224035,51.12165,207.6456,84.47457,205.9005,51.10296,239.3952,0,0.7209441,0.179294
580.4705,67297,left,1,-108.245,194.5541,110.5703,-9.825436,11.03841,-9.289358,1.454182,1.021491,1.379242,-150.9294,135.166,108.8973,-310.1975,-67.84631,87.47195,0,0.5799184,0,17.70522,227.7168,20.22846,-3.107115,-33.35177,10.29267,0.3115804,-0.007031268,-0.3161386,50.77441,206.9303,84.81361,206.5852,50.05939,238.3616,0,0.6691963,0.1192152
580.4871,67299,left,1,-108.4646,194.5798,110.3949,-13.24655,0.7713721,-8.909943,1.451985,1.025332,1.373766,-150.8546,134.9771,108.762,-307.6566,-69.62334,84.44793,0,0.5232252,0,17.61275,227.4803,20.45045,-3.990029,-16.54309,13.7621,0.3237534,-0.03758832,-0.3089949,50.37022,205.7428,84.92854,207.3249,49.62845,238.0821,0,0.6251301,0.04311931
580.5041,67301,left,1,-108.7272,194.6349,110.2979,-14.94676,4.213905,-4.182324,1.450156,1.029928,1.36847,-150.7734,134.7868,108.7105,-304.8997,-71.54874,82.06264,0,0.4291668,0,17.59504,226.7708,20.74169,0.1522289,-47.13358,14.9059,0.3199305,-0.05917699,-0.3061982,50.32756,205.0397,85.22739,207.7707,48.1735,237.0954,0,0.5804149,0
