Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
457.9835,53485,left,1,-11.38278,275.7195,33.87469,9.361837,332.2247,-48.9957,0.2774223,2.895659,0.8728088,-57.27085,251.9718,76.92522,-196.666,90.23028,183.5806,0.3915599,2.14385,0.5852038,18.41093,225.3138,17.95707,3.805511,38.83008,7.956595,0.3257782,0.01373357,-0.3181566,51.16246,203.4144,82.24403,200.2325,36.39592,231.7279,0,0.7326236,0
458,53486,left,1,-11.59266,278.642,33.63255,-23.92362,333.1234,-27.60093,0.2566654,2.890702,0.8936166,-58.52091,255.8419,76.0621,-196.9166,93.76696,183.5099,0.3920716,2.225263,0.6120485,18.43102,225.6912,18.04374,2.306688,43.33437,9.953967,0.3264976,0.01819019,-0.3204527,51.29063,203.8823,82.32899,200.643,38.58664,233.4371,0,0.7798588,0
458.0166,53488,left,1,-12.37,282.6692,33.63877,-44.38715,237.1466,4.92957,0.1892983,2.896565,0.9375288,-61.44553,262.5629,74.88199,-196.6845,97.45754,181.7338,0.4114028,2.231405,0.5991676,18.40465,226.5214,18.23855,-2.909666,56.09796,11.4019,0.3282187,0.02451907,-0.3235002,51.41246,204.8399,82.53451,201.5276,42.91131,236.5055,0,0.8303839,0.04028974
458.0337,53490,left,1,-13.1592,287.9485,33.78827,-49.89471,251.4562,10.89395,0.1856496,2.883262,0.9720103,-63.69666,268.071,73.34791,-198.613,102.0152,179.1294,0.395165,2.23697,0.597117,18.10311,227.3705,18.43532,-6.945813,55.80318,9.383934,0.3330704,0.02807493,-0.3305374,51.48849,205.6299,82.56013,202.619,46.63078,238.5772,0,0.8315652,0.08125872
458.0497,53492,left,1,-14.0751,292.9829,34.02706,-55.721,313.5296,17.17179,0.2220104,2.848291,0.9959788,-65.65994,272.1592,71.84152,-206.1151,111.1743,178.2506,0.419821,2.205,0.6479652,18.05762,228.08,18.64647,0.07544556,30.94688,11.54288,0.338345,0.02987687,-0.3308882,51.45837,206.1172,82.71241,203.6257,48.67337,239.298,0,0.8156868,0.1329048
458.0665,53494,left,1,-15.03225,297.4507,34.35373,-52.83451,236.9925,8.558765,0.2313582,2.81039,1.017201,-67.68703,276.6505,70.76575,-213.5558,121.3804,178.377,0.5407214,2.226351,0.722243,18.0624,228.5765,19.01755,0.3095428,34.28134,30.40811,0.3286049,0.02514137,-0.3290898,51.49883,207.1635,83.23975,204.8447,50.58802,239.546,0,0.7947472,0.1844946
458.0831,53496,left,1,-16.43365,302.6851,34.82549,-76.48885,316.7033,25.17588,0.264349,2.766138,1.028683,-69.56036,280.9031,70.01115,-217.5185,126.723,176.3294,0.5814009,2.260353,0.8491006,17.89447,228.2793,19.46428,-4.153082,-4.829456,30.21267,0.3169601,0.02296356,-0.3287141,51.44205,207.5679,83.84519,205.9019,52.08065,240.1409,0,0.7574357,0.1942879
458.0995,53498,left,1,-17.97268,308.2473,35.09608,-107.9152,329.8282,27.52533,0.3640952,2.701317,1.029402,-70.75043,283.5447,68.98208,-223.9879,134.9329,175.7505,0.583021,2.349734,0.9292476,17.7892,228.1402,19.93337,-9.701624,-14.87349,25.32333,0.3094111,0.006096346,-0.3224035,51.12165,207.6456,84.47457,205.9005,51.10296,239.3952,0,0.7209441,0.179294
458.116,53500,left,1,-19.47835,314.0085,35.63451,-59.47772,328.8672,11.26053,0.4679848,2.617271,1.036126,-71.82165,286.128,67.73705,-227.1732,138.0534,172.1712,0.4627123,2.409438,0.9239169,17.70522,227.7168,20.22846,-3.107115,-33.35177,10.29267,0.3115804,-0.007031268,-0.3161386,50.77441,206.9303,84.81361,206.5852,50.05939,238.3616,0,0.6691963,0.1192152
458.1328,53502,left,1,-19.59814,320.05,35.50819,18.61932,351.8121,-12.66882,0.5213945,2.511848,1.051461,-72.23508,290.9474,66.01349,-229.2446,146.0056,172.3458,0.2333954,2.447314,0.9127948,17.61275,227.4803,20.45045,-3.990029,-16.54309,13.7621,0.3237534,-0.03758832,-0.3089949,50.37022,205.7428,84.92854,207.3249,49.62845,238.0821,0,0.6251301,0.04311931
458.1493,53504,left,1,-21.0367,322.847,36.04,-92.44384,143.1111,34.57767,0.5536547,2.315877,1.06441,-74.33038,293.7036,65.28646,-236.1327,162.0569,181.2857,0.1925505,2.310183,1,17.59504,226.7708,20.74169,0.1522289,-47.13358,14.9059,0.3199305,-0.05917699,-0.3061982,50.32756,205.0397,85.22739,207.7707,48.1735,237.0954,0,0.5804149,0
458.1657,53506,left,1,-22.51398,325.4043,36.55734,-81.52759,174.4743,37.16474,0.5917332,2.170645,1.08372,-76.38023,296.148,64.49088,-240.7863,175.5664,188.5771,0.3152348,2.071489,1,17.57927,225.8769,20.97893,-1.554018,-49.27261,14.10453,0.3095724,-0.0696516,-0.3045345,50.35363,204.6443,85.59027,208.4467,47.60641,236.6033,0,0.5424234,0
458.1823,53508,left,1,-22.95598,329.3015,36.86001,-11.06592,197.5522,16.69073,0.637199,2.128683,1.106646,-77.18426,299.6469,63.51505,-243.6612,187.2018,192.3878,0.4022643,1.860191,0.8260562,17.47668,224.9987,21.14577,-9.194762,-51.0369,7.447628,0.3017198,-0.07100394,-0.3022352,50.21103,204.2219,85.91442,209.1774,47.90908,236.7628,0,0.5407819,0
