Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
387.1561,45157,left,1,-164.3371,347.6743,-10.9036,7.132114,179.616,35.68596,1.533024,1.048564,1.501759,-203.1987,289.3945,-10.28597,-295.5692,64.54978,46.34756,1,3.141593,0.7061161,18.41093,225.3138,17.95707,3.805511,38.83008,7.956595,0.3257782,0.01373357,-0.3181566,51.16246,203.4144,82.24403,200.2325,36.39592,231.7279,0,0.7326236,0
387.1734,45159,left,1,-163.3854,349.1304,-10.17708,53.06731,76.82003,39.51696,1.537408,1.059147,1.508617,-201.8187,290.5447,-9.966704,-293.9019,64.83448,43.60947,1,3.063865,0.6890664,18.43102,225.6912,18.04374,2.306688,43.33437,9.953967,0.3264976,0.01819019,-0.3204527,51.29063,203.8823,82.32899,200.643,38.58664,233.4371,0,0.7798588,0
387.1895,45161,left,1,-161.7273,350.3367,-9.59073,94.3685,74.61306,28.8882,1.536424,1.055394,1.507249,-200.2997,291.8358,-9.409353,-291.8278,65.26799,41.42806,0.9986777,3.12099,0.6938894,18.40465,226.5214,18.23855,-2.909666,56.09796,11.4019,0.3282187,0.02451907,-0.3235002,51.41246,204.8399,82.53451,201.5276,42.91131,236.5055,0,0.8303839,0.04028974
387.2059,45163,left,1,-161.9873,354.1864,-9.167976,-24.34285,243.2469,19.78799,1.532423,1.046359,1.500913,-200.9133,295.9164,-8.765282,-292.7186,69.12186,40.53848,1,3.088181,0.6686181,18.10311,227.3705,18.43532,-6.945813,55.80318,9.383934,0.3330704,0.02807493,-0.3305374,51.48849,205.6299,82.56013,202.619,46.63078,238.5772,0,0.8315652,0.08125872
387.2224,45165,left,1,-161.6659,357.9798,-8.798138,14.49711,198.4444,23.32261,1.517454,1.033166,1.475094,-200.9331,299.9189,-7.789261,-295.6727,74.27534,41.24365,1,3.078918,0.6825663,18.05762,228.08,18.64647,0.07544556,30.94688,11.54288,0.338345,0.02987687,-0.3308882,51.45837,206.1172,82.71241,203.6257,48.67337,239.298,0,0.8156868,0.1329048
387.2394,45167,left,1,-160.548,359.2417,-8.181306,60.28453,25.61671,40.47361,1.506916,1.029194,1.455912,-199.8758,301.1903,-6.674315,-298.5172,77.19998,42.24396,0.9354321,3.141593,0.6484838,18.0624,228.5765,19.01755,0.3095428,34.28134,30.40811,0.3286049,0.02514137,-0.3290898,51.49883,207.1635,83.23975,204.8447,50.58802,239.546,0,0.7947472,0.1844946
387.2555,45169,left,1,-159.4242,358.8318,-7.369235,67.27412,-44.71693,45.7527,1.502546,1.040104,1.44441,-198.1756,300.3643,-5.665973,-298.9648,77.47566,43.90237,0.9722032,2.982918,0.6356149,17.89447,228.2793,19.46428,-4.153082,-4.829456,30.21267,0.3169601,0.02296356,-0.3287141,51.44205,207.5679,83.84519,205.9019,52.08065,240.1409,0,0.7574357,0.1942879
387.2721,45171,left,1,-158.6279,358.3812,-6.680141,66.2292,-15.09323,36.46301,1.504266,1.049624,1.444914,-196.9207,299.6097,-4.984267,-297.1504,76.75087,45.83644,0.2967625,1.853442,0.3279173,17.7892,228.1402,19.93337,-9.701624,-14.87349,25.32333,0.3094111,0.006096346,-0.3224035,51.12165,207.6456,84.47457,205.9005,51.10296,239.3952,0,0.7209441,0.179294
387.2887,45173,left,1,-157.7834,358.0297,-6.01811,27.6287,-5.677567,28.07767,1.499476,1.044807,1.43764,-196.2251,299.3674,-4.294618,-296.4737,76.71706,47.39517,0.1151838,1.681937,0.431894,17.70522,227.7168,20.22846,-3.107115,-33.35177,10.29267,0.3115804,-0.007031268,-0.3161386,50.77441,206.9303,84.81361,206.5852,50.05939,238.3616,0,0.6691963,0.1192152
387.3058,45174,left,1,-157.6762,357.9204,-5.709433,12.5038,-12.7552,36.01411,1.495734,1.045073,1.430333,-196.0419,299.2042,-3.863393,-296.8651,76.83309,47.91098,0.09367945,1.730024,0.58926,17.61275,227.4803,20.45045,-3.990029,-16.54309,13.7621,0.3237534,-0.03758832,-0.3089949,50.37022,205.7428,84.92854,207.3249,49.62845,238.0821,0,0.6251301,0.04311931
