Time, Frame ID, Hand Type, # hands, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength, Position X, Position Y, Position Z, Velocity X, Velocity Y, Velocity Z, Pitch, Roll, Yaw, Wrist Pos X, Wrist Pos Y, Wrist Pos Z, Elbow pos X, Elbow Pos Y, Elbow Pos Z, Grab Strenth, Grab Angle, Pinch Strength
288.9741,33887,left,1,-20.96445,277.2744,22.53762,-81.85052,55.63362,81.04793,1.473535,0.6823044,1.489952,-76.24663,236.6217,19.142,-246.5929,63.85845,-3.974712,0,0.6541309,0.9796736,18.43102,225.6912,18.04374,2.306688,43.33437,9.953967,0.3264976,0.01819019,-0.3204527,51.29063,203.8823,82.32899,200.643,38.58664,233.4371,0,0.7798588,0
288.9902,33889,left,1,-22.63733,277.8508,23.60351,-91.64806,3.719262,56.07051,1.485072,0.6904904,1.498981,-77.67722,236.8828,19.59679,-251.0898,66.98364,-1.89144,0,0.7065537,0.8693008,18.40465,226.5214,18.23855,-2.909666,56.09796,11.4019,0.3282187,0.02451907,-0.3235002,51.41246,204.8399,82.53451,201.5276,42.91131,236.5055,0,0.8303839,0.04028974
289.007,33891,left,1,-22.96907,279.0835,24.62573,-20.86182,80.67157,48.2322,1.499734,0.7407428,1.505621,-76.13423,235.6962,19.93931,-252.9141,68.92928,1.580027,0,0.714493,0.7078236,18.10311,227.3705,18.43532,-6.945813,55.80318,9.383934,0.3330704,0.02807493,-0.3305374,51.48849,205.6299,82.56013,202.619,46.63078,238.5772,0,0.8315652,0.08125872
289.024,33893,left,1,-23.26744,280.0624,25.38935,-15.59406,49.19889,41.51294,1.497245,0.7724192,1.499417,-75.30006,235.2743,20.76503,-257.8839,74.53127,5.791574,0,0.7076716,0.582112,18.05762,228.08,18.64647,0.07544556,30.94688,11.54288,0.338345,0.02987687,-0.3308882,51.45837,206.1172,82.71241,203.6257,48.67337,239.298,0,0.8156868,0.1329048
289.0399,33894,left,1,-23.80122,279.4906,25.60914,-58.56024,-62.73522,24.11338,1.48738,0.7497799,1.493408,-76.84997,235.8726,21.35788,-262.5103,78.6217,7.152953,0,0.7470182,0.5966324,18.0624,228.5765,19.01755,0.3095428,34.28134,30.40811,0.3286049,0.02514137,-0.3290898,51.49883,207.1635,83.23975,204.8447,50.58802,239.546,0,0.7947472,0.1844946
289.0569,33896,left,1,-25.28656,277.8162,26.17856,-82.88447,-134.7544,34.57703,1.475787,0.7036281,1.490427,-80.18828,236.5361,22.22123,-269.6949,83.92689,8.182614,0,0.7925608,0.6856506,17.89447,228.2793,19.46428,-4.153082,-4.829456,30.21267,0.3169601,0.02296356,-0.3287141,51.44205,207.5679,83.84519,205.9019,52.08065,240.1409,0,0.7574357,0.1942879
289.073,33898,left,1,-26.35254,274.9743,26.77245,-55.73004,-184.6227,33.74892,1.464113,0.6421681,1.490626,-83.47808,236.8495,23.14298,-273.9122,85.50643,7.993628,0,0.851489,0.6448507,17.7892,228.1402,19.93337,-9.701624,-14.87349,25.32333,0.3094111,0.006096346,-0.3224035,51.12165,207.6456,84.47457,205.9005,51.10296,239.3952,0,0.7209441,0.179294
289.0898,33900,left,1,-26.9622,270.7434,27.18947,-24.09896,-249.6524,20.55448,1.441807,0.5751307,1.48513,-86.19395,236.051,24.33136,-273.7168,81.53118,5.405703,0,0.8487563,0.5692031,17.70522,227.7168,20.22846,-3.107115,-33.35177,10.29267,0.3115804,-0.007031268,-0.3161386,50.77441,206.9303,84.81361,206.5852,50.05939,238.3616,0,0.6691963,0.1192152
289.1068,33902,left,1,-27.59208,267.6583,27.60272,-60.12193,-163.7237,26.66552,1.433471,0.559054,1.482099,-87.02695,233.4473,24.8205,-266.4299,70.51829,-1.027927,0,0.9992884,0.5267285,17.61275,227.4803,20.45045,-3.990029,-16.54309,13.7621,0.3237534,-0.03758832,-0.3089949,50.37022,205.7428,84.92854,207.3249,49.62845,238.0821,0,0.6251301,0.04311931
289.1227,33904,left,1,-28.08993,263.5406,28.24289,-28.45308,-225.8907,42.32235,1.436591,0.5636095,1.483083,-87.38696,229.108,25.15187,-265.5288,66.24073,-8.599371,0,1.007479,0.6373659,17.59504,226.7708,20.74169,0.1522289,-47.13358,14.9059,0.3199305,-0.05917699,-0.3061982,50.32756,205.0397,85.22739,207.7707,48.1735,237.0954,0,0.5804149,0
